Artist,Label
Keith David,Universal
Darude,Universal
Days Difference,Universal
Dead by April,Universal
Dave Matthews Band,Universal
Deadmau5,Universal
Death,Universal
Dean,Universal
Deep Purple,Universal
Def Leppard,Universal
Emmelie de Forest,Universal
Lana Del Rey,Universal
DeLo,Universal
Kat DeLuna,Universal
Mao Denda,Universal
Depeche Mode,Universal
Desiigner,Universal
Device,Universal
Diamond Platnumz,Universal
Dido,Universal
Die Antwoord,Universal
Celine Dion,Universal
Dire Straits,Universal
Dirty Vegas,Universal
Aura Dione,Universal
Divine,Universal
Carlos do Carmo,Universal
DJ Snake,Universal
DMX,Universal
DNCE,Universal
Doda,Universal
Doro,Universal
Double You,Universal
The-Dream,Universal
Dreams Come True,Universal
DragonForc,Universal
Dragonette,Universal
Drake,Universal
Dr. Dre,Universal
The Drums,Universal
Duck Sauce,Universal
Duffy,Universal
Dulce Maria,Universal
Duke Dumont,Universal
Josh Dun,Universal
Zélia Duncan,Universal
Duran Duran,Universal
Jason Dy,Universal
Dzeko,Universal
The Eagles,Universal
Kate Earl,Universal
Sheena Easton,Universal
Eels,Universal
Taron Egerton,Universal
Eiffel 65,Universal
Billie Eilish,Universal
Chiwetel Ejiofor,Universal
Mikky Ekko,Universal
Cássia Eller,Universal
Yvonne Elliman,Universal
Eloy,Universal
Eminem,Universal
Paul Engemann,Universal
Enigma,Universal
Enca,Universal
Enya,Universal
Emma's Imagination,Universal
Empire of the Sun,Universal
Enter Shikari,Universal
Epex,Universal
Equinox,Universal
Sully Erna,Universal
Escape the Fate,Universal
Darren Espanto,Universal
Estelle,Universal
Melissa Etheridge,Universal
Evanescence,Universal
Mark Oliver Everett,Universal
Everglow,Universal
EXO,Universal
Exodus,Universal
Fabolous,Universal
Faithless,Universal
Fall Out Boy,Universal
FanFa,Universal
Far East Movement,Universal
Mylène Farmer,Universal
Fazura,Universal
Felli Fel,Universal
Fergie,Universal
Paula Fernandes,Universal
Tiziano Ferro,Universal
Fever Ray,Universal
The Fevers,Universal
Fabri Fibra,Universal
Shane Filan,Universal
Finger Eleven,Universal
Melanie Fiona,Universal
Helene Fischer,Universal
Fisherman's Friends,Universal
Five for Fighting,Universal
Flaw,Universal
The Fleetwoods,Universal
Flipsyde,Universal
Florence and the Machine,Universal
David Fonseca,Universal
Forever the Sickest Kids,Universal
Lita Ford,Universal
Frankie Goes to Hollywood,Universal
Chester French,Universal
Fresno,Universal
Mel Fronckowiak,Universal
Fugees,Universal
Masaharu Fukuyama,Universal
Nelly Furtado,Universal
G.NA,Universal
Josh Gad,Universal
Gal Gadot,Universal
Lady Gaga,Universal
Polina Gagarina,Universal
Serge Gainsbourg,Universal
Green Day,Universal
Lyca Gairanod,Universal
Sakura Gakuin,Universal
The Game,Universal
Melody Gardot,Universal
Art Garfunkel,Universal
Sean Garrett,Universal
Martin Garrix,Universal
Manu Gavassi,Universal
Cedric Gervais,Universal
Ghostface Killah,Universal
Vince Gill,Universal
Kendji Girac,Universal
Girlicious,Universal
Girls' Generation,Universal
Donald Glover,Universal
Go Back to the Zoo,Universal
Go_,Universal
Sergio Godinho,Universal
Godsmack,Universal
The Go-Go's,Universal
Selena Gomez,Universal
Anthony Gonzales,Universal
Lesley Gore,Universal
Gorillaz,Universal
GOT7,Universal
Gotye,Universal
Ellie Goulding,Universal
The Graces,Universal
Josh Gracin,Universal
Ariana Grande,Universal
Amy Grant,Universal
Gravitonas,Universal
Conan Gray,Universal
David Gray,Universal
Loren Gray,Universal
Great White,Universal
Skylar Grey,Universal
Christina Grimmie,Universal
Jonathan Groff,Universal
Bai Guang,Universal
Ana Guerra,Universal
Juan Luis Guerra,Universal
David Guetta,Universal
